lga_code,@timestamp,malaria_cases,mip_cases,disruption,state
1,2015-01-01,14.5258390463339,2.23606797749979,0.0,Cross
2,2015-01-01,3.16227766016837,5.88763276697024,0.0,Cross
3,2015-01-01,19.2860429373997,5.25597427830536,0.0,Cross
4,2015-01-01,27.4043792120894,4.89897948556635,0.0,Cross
5,2015-01-01,10.7672639333722,5.53586721976418,0.0,Cross
6,2015-01-01,10.2469507659595,1.0,0.0,Cross
7,2015-01-01,21.97317805183,8.17395709685668,0.0,Cross
8,2015-01-01,6.08276253029821,1.41421356237309,0.0,Cross
9,2015-01-01,21.5638586528478,2.3968697193751,0.0,Cross
10,2015-01-01,0.0,0.0,0.0,Cross
11,2015-01-01,21.9399802141757,2.27782202589919,1.0,Cross
12,2015-01-01,31.0254834551122,6.50251642338846,1.0,Cross
13,2015-01-01,21.8072641056169,8.46212553869563,2.76077257203719e-06,Cross
14,2015-01-01,18.3030052177231,3.87298334620741,1.3996067466554301e-14,Cross
15,2015-01-01,16.7928556237466,6.9282032302755,2.8848045158582804e-23,Cross
16,2015-01-01,22.8910462845191,7.14142842854285,1.6162972464442201e-31,Cross
17,2015-01-01,20.8566536146142,1.41421356237309,1.00081896193411e-39,Cross
18,2015-01-01,21.5870331449229,8.36660026534075,1.68891188022453e-48,Cross
19,2015-01-01,17.3955049758809,5.41864590361589,1.0457822894167998e-56,Cross
1,2015-02-01,19.6468827043885,4.24264068711928,0.0,Cross
2,2015-02-01,19.8997487421324,4.24264068711928,0.0,Cross
3,2015-02-01,18.0,3.16227766016837,0.0,Cross
4,2015-02-01,32.0468407179241,4.79583152331271,0.0,Cross
5,2015-02-01,4.12310562561766,5.53586721976418,0.0,Cross
6,2015-02-01,24.0,5.29150262212918,0.0,Cross
7,2015-02-01,23.5796522451031,7.21110255092797,0.0,Cross
8,2015-02-01,32.3419232575924,5.91607978309961,0.0,Cross
9,2015-02-01,28.4604989415154,6.16441400296897,0.0,Cross
10,2015-02-01,0.0,0.0,0.0,Cross
11,2015-02-01,22.1810730128188,2.23606797749979,1.0,Cross
12,2015-02-01,35.3270434653113,6.6332495807108,1.0,Cross
13,2015-02-01,19.7737199332851,10.3440804327886,2.49805032586663e-06,Cross
14,2015-02-01,25.0599281722833,4.89897948556635,1.26641655490941e-14,Cross
15,2015-02-01,34.9714169000914,13.4164078649987,2.6102790696676997e-23,Cross
16,2015-02-01,28.3196045170125,9.0,1.46248622725123e-31,Cross
17,2015-02-01,31.7332633052448,4.47213595499958,9.05578445437899e-40,Cross
18,2015-02-01,34.8711915483253,11.8321595661992,1.52819066499261e-48,Cross
19,2015-02-01,16.2480768092719,4.35889894354067,9.462629465836369e-57,Cross
1,2015-03-01,26.981475126464,5.56776436283002,0.0,Cross
2,2015-03-01,25.5342906696074,6.0,0.0,Cross
3,2015-03-01,18.6010752377382,4.79583152331271,0.0,Cross
4,2015-03-01,28.6705423736629,5.8309518948453,0.0,Cross
5,2015-03-01,10.295630140987,3.16227766016837,0.0,Cross
6,2015-03-01,24.4540385212749,5.3851648071345,0.0,Cross
7,2015-03-01,30.1827765455731,9.16515138991168,0.0,Cross
8,2015-03-01,37.0270171631472,6.70820393249936,0.0,Cross
9,2015-03-01,30.6757233003559,2.64575131106459,0.0,Cross
10,2015-03-01,0.0,0.0,0.0,Cross
11,2015-03-01,23.5796522451031,2.27782248146359,1.0,Cross
12,2015-03-01,27.4408454680244,6.0,1.0,Cross
13,2015-03-01,19.5192212959431,6.557438524302,2.26032940698105e-06,Cross
14,2015-03-01,26.6458251889484,6.24499799839839,1.14590108570223e-14,Cross
15,2015-03-01,33.4065861769801,12.3693168768529,2.3618781737514201e-23,Cross
16,2015-03-01,33.1511689085015,9.05538513813741,1.32331226177914e-31,Cross
17,2015-03-01,32.5269119345811,3.74165738677394,2.7275498619834397e-40,Cross
18,2015-03-01,36.8103246386119,7.0,1.38276409557857e-48,Cross
19,2015-03-01,18.3030052177231,5.3851648071345,8.56214121369842e-57,Cross
1,2015-04-01,31.0644491340181,5.8309518948453,0.0,Cross
2,2015-04-01,29.3428015022424,6.48074069840786,0.0,Cross
3,2015-04-01,20.9045449603668,6.40312423743284,0.0,Cross
4,2015-04-01,27.3495886623546,3.87298334620741,0.0,Cross
5,2015-04-01,12.3693168768529,5.53586721976417,0.0,Cross
6,2015-04-01,42.5558456619064,5.65685424949238,0.0,Cross
7,2015-04-01,8.06225774829855,2.44948974278317,0.0,Cross
8,2015-04-01,46.6476151587624,7.87400787401181,0.0,Cross
9,2015-04-01,29.4278779391243,2.0,0.0,Cross
10,2015-04-01,0.0,0.0,0.0,Cross
